"GEOID","NAME","households","total_pop","white","black","asian","american_indian_alaska_native","hawaian_pacific_island","hispanic"
"060610235011","Block Group 1, Census Tract 235.01, Placer County, California",180,499,310,11,124,0,1,50
"060610235023","Block Group 3, Census Tract 235.02, Placer County, California",8,55,20,3,4,0,2,19
"060610235021","Block Group 1, Census Tract 235.02, Placer County, California",511,1612,1122,27,161,3,2,251
"060610235022","Block Group 2, Census Tract 235.02, Placer County, California",591,1739,1341,16,107,12,4,250
"060610235024","Block Group 4, Census Tract 235.02, Placer County, California",582,1909,1411,24,146,20,0,308
"060610236002","Block Group 2, Census Tract 236, Placer County, California",864,1373,1195,10,61,8,0,68
"060610236001","Block Group 1, Census Tract 236, Placer County, California",1170,1928,1768,7,51,2,2,99
"060610236003","Block Group 3, Census Tract 236, Placer County, California",691,1060,972,4,35,1,1,48
"060610237002","Block Group 2, Census Tract 237, Placer County, California",1047,1580,1434,8,47,2,0,64
"060610237001","Block Group 1, Census Tract 237, Placer County, California",1107,1721,1572,10,56,9,5,57
"060610238001","Block Group 1, Census Tract 238, Placer County, California",974,1507,1341,17,58,1,3,65
"060610238002","Block Group 2, Census Tract 238, Placer County, California",1037,1704,1469,15,55,12,1,117
"060610239001","Block Group 1, Census Tract 239, Placer County, California",469,1346,891,29,52,16,5,333
"060610239002","Block Group 2, Census Tract 239, Placer County, California",561,1783,1324,40,68,12,5,347
"060619900000","Block Group 0, Census Tract 9900, Placer County, California",0,0,0,0,0,0,0,0
"060630001003","Block Group 3, Census Tract 1, Plumas County, California",359,669,567,4,16,8,5,95
"060630001006","Block Group 6, Census Tract 1, Plumas County, California",371,738,630,1,2,13,0,60
"060630001001","Block Group 1, Census Tract 1, Plumas County, California",482,872,733,15,14,7,0,70
"060630001002","Block Group 2, Census Tract 1, Plumas County, California",396,770,660,10,0,11,1,49
"060630001004","Block Group 4, Census Tract 1, Plumas County, California",650,1464,1232,20,9,33,2,94
"060630001005","Block Group 5, Census Tract 1, Plumas County, California",364,758,626,6,2,14,0,46
"060630002011","Block Group 1, Census Tract 2.01, Plumas County, California",1045,925,840,4,7,7,1,36
"060630002012","Block Group 2, Census Tract 2.01, Plumas County, California",1134,905,842,3,3,5,0,32
"060630002021","Block Group 1, Census Tract 2.02, Plumas County, California",418,660,561,0,5,14,1,72
"060630002022","Block Group 2, Census Tract 2.02, Plumas County, California",843,588,506,4,6,9,0,36
"060630003002","Block Group 2, Census Tract 3, Plumas County, California",722,1258,985,7,6,21,17,212
"060630003001","Block Group 1, Census Tract 3, Plumas County, California",455,987,732,2,8,33,0,244
"060630003003","Block Group 3, Census Tract 3, Plumas County, California",692,1360,1081,2,15,23,0,239
"060630003004","Block Group 4, Census Tract 3, Plumas County, California",970,1292,1130,8,9,19,3,109
"060630004001","Block Group 1, Census Tract 4, Plumas County, California",516,758,595,2,6,61,2,70
"060630004002","Block Group 2, Census Tract 4, Plumas County, California",461,780,635,1,2,41,5,61
"060630004003","Block Group 3, Census Tract 4, Plumas County, California",595,1026,783,7,2,97,1,89
"060630005011","Block Group 1, Census Tract 5.01, Plumas County, California",548,634,565,0,15,2,1,37
"060630005012","Block Group 2, Census Tract 5.01, Plumas County, California",857,1566,1357,3,13,18,0,138
"060630005021","Block Group 1, Census Tract 5.02, Plumas County, California",1486,451,397,0,0,7,0,30
"060630005022","Block Group 2, Census Tract 5.02, Plumas County, California",992,457,385,0,4,5,3,22
"060630005023","Block Group 3, Census Tract 5.02, Plumas County, California",1040,872,766,4,8,5,2,56
"060650301011","Block Group 1, Census Tract 301.01, Riverside County, California",349,1243,287,66,133,30,4,823
"060650301031","Block Group 1, Census Tract 301.03, Riverside County, California",301,903,279,36,15,43,2,649
"060650301032","Block Group 2, Census Tract 301.03, Riverside County, California",406,1188,320,41,61,53,8,827
"060650301041","Block Group 1, Census Tract 301.04, Riverside County, California",805,2827,733,299,372,97,8,1602
"060650301042","Block Group 2, Census Tract 301.04, Riverside County, California",506,1755,382,195,99,154,6,1201
"060650301043","Block Group 3, Census Tract 301.04, Riverside County, California",252,900,234,17,22,45,8,689
"060650301044","Block Group 4, Census Tract 301.04, Riverside County, California",513,1771,464,46,58,70,7,1375
"060650302001","Block Group 1, Census Tract 302, Riverside County, California",544,1442,775,71,45,19,0,633
"060650302002","Block Group 2, Census Tract 302, Riverside County, California",520,1243,621,85,16,29,11,587
"060650302003","Block Group 3, Census Tract 302, Riverside County, California",311,815,406,29,29,21,1,341
"060650302004","Block Group 4, Census Tract 302, Riverside County, California",650,1444,717,79,72,21,8,606
"060650303004","Block Group 4, Census Tract 303, Riverside County, California",319,1290,498,211,21,19,6,555
"060650303001","Block Group 1, Census Tract 303, Riverside County, California",541,1215,423,131,20,34,5,672
"060650303002","Block Group 2, Census Tract 303, Riverside County, California",647,1247,552,104,52,18,1,550
"060650303003","Block Group 3, Census Tract 303, Riverside County, California",340,688,365,34,32,3,0,291
"060650304003","Block Group 3, Census Tract 304, Riverside County, California",229,949,142,64,15,39,0,791
