"GEOID","NAME","H1_001N"
"06007000601","Census Tract 6.01, Butte County, California",1421
"06007000603","Census Tract 6.03, Butte County, California",1144
"06007000604","Census Tract 6.04, Butte County, California",1982
"06007000700","Census Tract 7, Butte County, California",2590
"06007000800","Census Tract 8, Butte County, California",2342
"06007000901","Census Tract 9.01, Butte County, California",1197
"06007000903","Census Tract 9.03, Butte County, California",3134
"06007000904","Census Tract 9.04, Butte County, California",2988
"06007001000","Census Tract 10, Butte County, California",2534
"06007001100","Census Tract 11, Butte County, California",2054
"06007001200","Census Tract 12, Butte County, California",1691
"06007001300","Census Tract 13, Butte County, California",1598
"06007001400","Census Tract 14, Butte County, California",2317
"06007001500","Census Tract 15, Butte County, California",2157
"06007001601","Census Tract 16.01, Butte County, California",1094
"06007001602","Census Tract 16.02, Butte County, California",1760
"06007001702","Census Tract 17.02, Butte County, California",1648
"06007001703","Census Tract 17.03, Butte County, California",769
"06007001704","Census Tract 17.04, Butte County, California",1449
"06007001800","Census Tract 18, Butte County, California",435
"06007001900","Census Tract 19, Butte County, California",370
"06007002000","Census Tract 20, Butte County, California",445
"06007002100","Census Tract 21, Butte County, California",524
"06007002200","Census Tract 22, Butte County, California",817
"06007002300","Census Tract 23, Butte County, California",854
"06007002401","Census Tract 24.01, Butte County, California",880
"06007002402","Census Tract 24.02, Butte County, California",2090
"06007002500","Census Tract 25, Butte County, California",1716
"06007002601","Census Tract 26.01, Butte County, California",1186
"06007002602","Census Tract 26.02, Butte County, California",1840
"06007002700","Census Tract 27, Butte County, California",2358
"06007002800","Census Tract 28, Butte County, California",2099
"06007002900","Census Tract 29, Butte County, California",1038
"06007003001","Census Tract 30.01, Butte County, California",1170
"06007003002","Census Tract 30.02, Butte County, California",1257
"06007003100","Census Tract 31, Butte County, California",1806
"06007003200","Census Tract 32, Butte County, California",1679
"06007003300","Census Tract 33, Butte County, California",2063
"06007003400","Census Tract 34, Butte County, California",1115
"06007003501","Census Tract 35.01, Butte County, California",1333
"06007003502","Census Tract 35.02, Butte County, California",1724
"06007003600","Census Tract 36, Butte County, California",1315
"06007003700","Census Tract 37, Butte County, California",1952
"06009000121","Census Tract 1.21, Calaveras County, California",2226
"06009000122","Census Tract 1.22, Calaveras County, California",2094
"06009000123","Census Tract 1.23, Calaveras County, California",1838
"06009000124","Census Tract 1.24, Calaveras County, California",1143
"06009000220","Census Tract 2.20, Calaveras County, California",2322
"06009000221","Census Tract 2.21, Calaveras County, California",2399
"06009000222","Census Tract 2.22, Calaveras County, California",1773
"06009000301","Census Tract 3.01, Calaveras County, California",1993
"06009000302","Census Tract 3.02, Calaveras County, California",1229
"06009000400","Census Tract 4, Calaveras County, California",2282
"06009000501","Census Tract 5.01, Calaveras County, California",2632
"06009000504","Census Tract 5.04, Calaveras County, California",2205
"06009000505","Census Tract 5.05, Calaveras County, California",1693
"06009000506","Census Tract 5.06, Calaveras County, California",1593
"06011000100","Census Tract 1, Colusa County, California",1787
"06011000200","Census Tract 2, Colusa County, California",1940
"06011000301","Census Tract 3.01, Colusa County, California",1436
"06011000302","Census Tract 3.02, Colusa County, California",680
"06011000400","Census Tract 4, Colusa County, California",1144
"06011000500","Census Tract 5, Colusa County, California",1112
"06013301000","Census Tract 3010, Contra Costa County, California",2413
"06013302005","Census Tract 3020.05, Contra Costa County, California",2576
"06013302006","Census Tract 3020.06, Contra Costa County, California",1307
"06013302007","Census Tract 3020.07, Contra Costa County, California",2249
"06013302009","Census Tract 3020.09, Contra Costa County, California",2321
"06013302011","Census Tract 3020.11, Contra Costa County, California",1557
"06013302012","Census Tract 3020.12, Contra Costa County, California",1529
"06013302013","Census Tract 3020.13, Contra Costa County, California",1076
"06013302014","Census Tract 3020.14, Contra Costa County, California",2334
"06013303104","Census Tract 3031.04, Contra Costa County, California",1992
"06013303105","Census Tract 3031.05, Contra Costa County, California",1079
"06013303106","Census Tract 3031.06, Contra Costa County, California",2220
"06013303107","Census Tract 3031.07, Contra Costa County, California",2179
"06013303202","Census Tract 3032.02, Contra Costa County, California",2746
"06013303204","Census Tract 3032.04, Contra Costa County, California",1706
"06013303206","Census Tract 3032.06, Contra Costa County, California",1402
"06013303207","Census Tract 3032.07, Contra Costa County, California",1988
"06013303208","Census Tract 3032.08, Contra Costa County, California",1524
"06013303209","Census Tract 3032.09, Contra Costa County, California",1510
"06013303210","Census Tract 3032.10, Contra Costa County, California",2025
"06013303211","Census Tract 3032.11, Contra Costa County, California",1555
"06013304001","Census Tract 3040.01, Contra Costa County, California",2226
"06013304002","Census Tract 3040.02, Contra Costa County, California",434
"06013304003","Census Tract 3040.03, Contra Costa County, California",1770
"06013304004","Census Tract 3040.04, Contra Costa County, California",1770
"06013304006","Census Tract 3040.06, Contra Costa County, California",1299
"06013304007","Census Tract 3040.07, Contra Costa County, California",1397
"06013305000","Census Tract 3050, Contra Costa County, California",2524
"06013306002","Census Tract 3060.02, Contra Costa County, California",1209
"06013306003","Census Tract 3060.03, Contra Costa County, California",1825
"06013306004","Census Tract 3060.04, Contra Costa County, California",1251
"06013307101","Census Tract 3071.01, Contra Costa County, California",1738
"06013307102","Census Tract 3071.02, Contra Costa County, California",1846
"06013307201","Census Tract 3072.01, Contra Costa County, California",1169
